Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Arminia Bielefeld,34,18,14,2,65,30,+35,68
2,VFB Stuttgart,34,17,7,10,62,41,+21,58
3,Heidenheim,34,15,10,9,45,36,+9,55
4,Hamburger,34,14,12,8,62,46,+16,54
5,SV Darmstadt 98,34,13,13,8,48,43,+5,52
6,Hannover 96,34,13,9,12,54,49,+5,48
7,Erzgebirge Aue,34,13,8,13,46,48,-2,47
8,VfL Bochum 1848,34,11,13,10,53,51,+2,46
9,Greuther Furth,34,11,11,12,46,45,+1,44
10,SV Sandhausen,34,10,13,11,43,45,-2,43
11,Holstein Kiel,34,11,10,13,53,56,-3,43
12,Jahn Regensburg,34,11,10,13,50,56,-6,43
13,VfL Osnabruck,34,9,13,12,46,48,-2,40
14,St Pauli,34,9,12,13,41,50,-9,39
15,Karlsruher,34,8,13,13,45,56,-11,37
16,Nurnberg,34,8,13,13,45,58,-13,37
17,Wehen Wiesbaden,34,9,7,18,45,65,-20,34
18,Dynamo Dresden,34,8,8,18,32,58,-26,32
